title,variant,price,imgUrl,link,l1,l2,l3,inviteId,modelId,final_1688_link,price judge,update date,itemid,最大价格,tag,共有model数
三件套女士连体衣，采用双层衬里Supplex面料，高级款式,套装 3（黑-棕-灰）_M,17.54,https://cf.shopee.com.br/file/br-11134207-7r98o-m8nlpdvnhrbl8d,http://shopee.com.br/product/819155165/18598041606,Women Clothes,Tops,Bodysuits,IVCN202603130575,258955595326,https://detail.1688.com/offer/869040478475.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i39&source=action%23offerItem%3Borigin%23shopee.com.br&amug_biz=oneself&amug_fl_src=awakeId_982,,0318_WA,18598041606,17.54,,
三件套女士连体衣，采用双层衬里Supplex面料，高级款式,套装 3（黑-棕-灰）_L,17.15,https://cf.shopee.com.br/file/br-11134207-7r98o-m8nlpdvnhrbl8d,http://shopee.com.br/product/819155165/18598041606,Women Clothes,Tops,Bodysuits,IVCN202603130575,258955595327,https://detail.1688.com/offer/869040478475.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i39&source=action%23offerItem%3Borigin%23shopee.com.br&amug_biz=oneself&amug_fl_src=awakeId_982,,0318_WA,18598041606,17.15,,
三件套女士连体衣，采用双层衬里Supplex面料，高级款式,套装 3（黑-棕-灰）_XL,17.88,https://cf.shopee.com.br/file/br-11134207-7r98o-m8nlpdvnhrbl8d,http://shopee.com.br/product/819155165/18598041606,Women Clothes,Tops,Bodysuits,IVCN202603130575,258955595328,https://detail.1688.com/offer/869040478475.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i39&source=action%23offerItem%3Borigin%23shopee.com.br&amug_biz=oneself&amug_fl_src=awakeId_982,,0318_WA,18598041606,17.88,,
三件套女士连体衣，采用双层衬里Supplex面料，高级款式,套装 3（黑-棕-白）_XL,17.88,https://cf.shopee.com.br/file/br-11134207-7r98o-m8nlpdvnhrbl8d,http://shopee.com.br/product/819155165/18598041606,Women Clothes,Tops,Bodysuits,IVCN202603130575,258955595331,https://detail.1688.com/offer/869040478475.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i39&source=action%23offerItem%3Borigin%23shopee.com.br&amug_biz=oneself&amug_fl_src=awakeId_982,,0318_WA,18598041606,17.88,,
女士单肩镂空连体衣，长袖，带搭扣，采用优质Supplex面料,黑色_PP,9.54,https://cf.shopee.com.br/file/br-11134207-7r98o-mbr647nt29uha0,http://shopee.com.br/product/389584317/19677581974,Women Clothes,Tops,Bodysuits,IVCN202603130427,175796208440,https://detail.1688.com/offer/626388298344.html?spm=a26352.b28411319.offerlist.11.55581e62Ce4Gi6&cosite=-&tracelog=p4p&_p_isad=1&clickid=4d7dfbdf7d1e47ffae2a5321cb72051b&sessionid=02d915840c90804efdf0df342e510b82,,0318_WA,19677581974,9.54,,
女士单肩镂空连体衣，长袖，带搭扣，采用优质Supplex面料,黑色_S,9.75,https://cf.shopee.com.br/file/br-11134207-7r98o-mbr647nt29uha0,http://shopee.com.br/product/389584317/19677581974,Women Clothes,Tops,Bodysuits,IVCN202603130427,175796208445,https://detail.1688.com/offer/626388298344.html?spm=a26352.b28411319.offerlist.11.55581e62Ce4Gi6&cosite=-&tracelog=p4p&_p_isad=1&clickid=4d7dfbdf7d1e47ffae2a5321cb72051b&sessionid=02d915840c90804efdf0df342e510b82,,0318_WA,19677581974,9.75,,
两件装女士连体衣，采用优质双层衬里和Supplex面料,黑色 - 棕色 - 灰色_S,18.09,https://cf.shopee.com.br/file/br-11134207-7r98o-m8nlpdvnj5w19b,http://shopee.com.br/product/819155165/20099566474,Women Clothes,Tops,Bodysuits,IVCN202603130585,169713739514,https://detail.1688.com/offer/748489115201.html?kj_agent_plugin=aliprice&fromkv=xytTrace:213371c017466023232808833e12b3&token=bkSChi0xSiMQeLWmPQWm6KeumLNdVfMHl0TrIFMX5Vw1f2Iumh%2BsT%2FgeWavTAf9N,,0318_WA,20099566474,18.09,,
两件装女士连体衣，采用优质双层衬里和Supplex面料,黑色 - 棕色 - 白色_S,17.88,https://cf.shopee.com.br/file/br-11134207-7r98o-m8nlpdvnj5w19b,http://shopee.com.br/product/819155165/20099566474,Women Clothes,Tops,Bodysuits,IVCN202603130585,199602739172,https://detail.1688.com/offer/748489115201.html?kj_agent_plugin=aliprice&fromkv=xytTrace:213371c017466023232808833e12b3&token=bkSChi0xSiMQeLWmPQWm6KeumLNdVfMHl0TrIFMX5Vw1f2Iumh%2BsT%2FgeWavTAf9N,,0318_WA,20099566474,17.88,,
两件装女士连体衣，采用优质双层衬里和Supplex面料,黑色 - 棕色 - 白色_M,17.88,https://cf.shopee.com.br/file/br-11134207-7r98o-m8nlpdvnj5w19b,http://shopee.com.br/product/819155165/20099566474,Women Clothes,Tops,Bodysuits,IVCN202603130585,229428270810,https://detail.1688.com/offer/1027209461248.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i9&source=action%23offerItem%3Borigin%23shopee.com.br&amug_biz=oneself&amug_fl_src=awakeId_982,,0318_WA,20099566474,17.88,,
两件装女士连体衣，采用优质双层衬里和Supplex面料,黑色 - 棕色 - 灰色_XL,17.88,https://cf.shopee.com.br/file/br-11134207-7r98o-m8nlpdvnj5w19b,http://shopee.com.br/product/819155165/20099566474,Women Clothes,Tops,Bodysuits,IVCN202603130585,229428270815,https://detail.1688.com/offer/1027209461248.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i9&source=action%23offerItem%3Borigin%23shopee.com.br&amug_biz=oneself&amug_fl_src=awakeId_982,,0318_WA,20099566474,17.88,,
两件装女士连体衣，采用优质双层衬里和Supplex面料,黑色 - 灰色 - 白色_M,17.88,https://cf.shopee.com.br/file/br-11134207-7r98o-m8nlpdvnj5w19b,http://shopee.com.br/product/819155165/20099566474,Women Clothes,Tops,Bodysuits,IVCN202603130585,229428270817,https://detail.1688.com/offer/1027209461248.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i9&source=action%23offerItem%3Borigin%23shopee.com.br&amug_biz=oneself&amug_fl_src=awakeId_982,,0318_WA,20099566474,17.88,,
两件装女士连体衣，采用优质双层衬里和Supplex面料,黑色 - 棕色 - 白色_XL,17.88,https://cf.shopee.com.br/file/br-11134207-7r98o-m8nlpdvnj5w19b,http://shopee.com.br/product/819155165/20099566474,Women Clothes,Tops,Bodysuits,IVCN202603130585,229428270841,https://detail.1688.com/offer/1027209461248.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i9&source=action%23offerItem%3Borigin%23shopee.com.br&amug_biz=oneself&amug_fl_src=awakeId_982,,0318_WA,20099566474,17.88,,
女士V领连体衣，采用Supplex面料，Bori短款上衣,黑色_均码,17.91,https://cf.shopee.com.br/file/br-11134207-81z1k-mg4bhrur9nuof4,http://shopee.com.br/product/378273049/22094574635,Women Clothes,Tops,Bodysuits,IVCN202603130430,109870792856,https://detail.1688.com/offer/774465840650.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i5&source=action%23offerItem%3Borigin%23shopee.com.br&amug_biz=oneself&amug_fl_src=awakeId_982,,0318_WA,22094574635,17.91,,
